suite,concept,scale,declarative_score,declarative_pct
gpt2,tab panel,124M,1.0,50.0
gpt2,tab panel,355M,1.0,50.0
gpt2,tab panel,774M,1.0,50.0
gpt2,tab panel,1.5B,1.0,50.0
gpt2,target size,124M,1.0,50.0
gpt2,target size,355M,1.0,50.0
gpt2,target size,774M,1.0,50.0
gpt2,target size,1.5B,1.0,50.0
gpt2,text alternative,124M,0.0,0.0
gpt2,text alternative,355M,1.0,50.0
gpt2,text alternative,774M,1.0,50.0
gpt2,text alternative,1.5B,1.0,50.0
gpt2,text formatting,124M,0.0,0.0
gpt2,text formatting,355M,0.0,0.0
gpt2,text formatting,774M,1.0,50.0
gpt2,text formatting,1.5B,1.0,50.0
gpt2,text spacing,124M,1.0,50.0
gpt2,text spacing,355M,1.0,50.0
gpt2,text spacing,774M,0.0,0.0
gpt2,text spacing,1.5B,1.0,50.0
gpt2,tool tip,124M,0.0,0.0
gpt2,tool tip,355M,0.0,0.0
gpt2,tool tip,774M,0.0,0.0
gpt2,tool tip,1.5B,0.0,0.0
gpt2,touch target,124M,1.0,50.0
gpt2,touch target,355M,1.0,50.0
gpt2,touch target,774M,1.0,50.0
gpt2,touch target,1.5B,2.0,100.0
gpt2,tree grid,124M,0.0,0.0
gpt2,tree grid,355M,0.0,0.0
gpt2,tree grid,774M,0.0,0.0
gpt2,tree grid,1.5B,0.0,0.0
gpt2,universal design,124M,0.0,0.0
gpt2,universal design,355M,0.0,0.0
gpt2,universal design,774M,0.0,0.0
gpt2,universal design,1.5B,0.0,0.0
olmo,ARIA,1B,0.0,0.0
olmo,ARIA,7B,2.0,100.0
olmo,ARIA,13B,2.0,100.0
olmo,WCAG,1B,2.0,100.0
olmo,WCAG,7B,2.0,100.0
olmo,WCAG,13B,2.0,100.0
olmo,accessibility tree,1B,1.0,50.0
olmo,accessibility tree,7B,2.0,100.0
olmo,accessibility tree,13B,1.0,50.0
olmo,accessible authentication,1B,1.0,50.0
olmo,accessible authentication,7B,1.0,50.0
olmo,accessible authentication,13B,0.0,0.0
olmo,accessible description,1B,1.0,50.0
olmo,accessible description,7B,1.0,50.0
olmo,accessible description,13B,1.0,50.0
olmo,accessible name,1B,0.0,0.0
olmo,accessible name,7B,0.0,0.0
olmo,accessible name,13B,2.0,100.0
olmo,alt text,1B,2.0,100.0
olmo,alt text,7B,2.0,100.0
olmo,alt text,13B,1.0,50.0
olmo,audio description,1B,2.0,100.0
olmo,audio description,7B,0.0,0.0
olmo,audio description,13B,0.0,0.0
olmo,character key,1B,0.0,0.0
olmo,character key,7B,0.0,0.0
olmo,character key,13B,1.0,50.0
olmo,closed captions,1B,0.0,0.0
olmo,closed captions,7B,2.0,100.0
olmo,closed captions,13B,2.0,100.0
olmo,cognitive disabilities,1B,2.0,100.0
olmo,cognitive disabilities,7B,2.0,100.0
olmo,cognitive disabilities,13B,2.0,100.0
olmo,color contrast,1B,0.0,0.0
olmo,color contrast,7B,0.0,0.0
olmo,color contrast,13B,1.0,50.0
olmo,combo box,1B,1.0,50.0
olmo,combo box,7B,2.0,100.0
olmo,combo box,13B,1.0,50.0
olmo,consistent help,1B,0.0,0.0
olmo,consistent help,7B,0.0,0.0
olmo,consistent help,13B,0.0,0.0
olmo,decorative image,1B,2.0,100.0
olmo,decorative image,7B,1.0,50.0
olmo,decorative image,13B,2.0,100.0
olmo,drag movement,1B,1.0,50.0
olmo,drag movement,7B,1.0,50.0
olmo,drag movement,13B,1.0,50.0
olmo,error identification,1B,0.0,0.0
olmo,error identification,7B,0.0,0.0
olmo,error identification,13B,2.0,100.0
olmo,focus appearance,1B,0.0,0.0
olmo,focus appearance,7B,1.0,50.0
olmo,focus appearance,13B,0.0,0.0
olmo,focus indicator,1B,2.0,100.0
olmo,focus indicator,7B,0.0,0.0
olmo,focus indicator,13B,2.0,100.0
olmo,focus management,1B,0.0,0.0
olmo,focus management,7B,1.0,50.0
olmo,focus management,13B,0.0,0.0
olmo,form field,1B,2.0,100.0
olmo,form field,7B,2.0,100.0
olmo,form field,13B,2.0,100.0
olmo,informative image,1B,0.0,0.0
olmo,informative image,7B,0.0,0.0
olmo,informative image,13B,0.0,0.0
olmo,input purpose,1B,0.0,0.0
olmo,input purpose,7B,0.0,0.0
olmo,input purpose,13B,0.0,0.0
olmo,keyboard interaction,1B,1.0,50.0
olmo,keyboard interaction,7B,2.0,100.0
olmo,keyboard interaction,13B,1.0,50.0
olmo,keyboard navigation,1B,1.0,50.0
olmo,keyboard navigation,7B,2.0,100.0
olmo,keyboard navigation,13B,2.0,100.0
olmo,landmark region,1B,1.0,50.0
olmo,landmark region,7B,0.0,0.0
olmo,landmark region,13B,1.0,50.0
olmo,live region,1B,1.0,50.0
olmo,live region,7B,1.0,50.0
olmo,live region,13B,1.0,50.0
olmo,low vision,1B,2.0,100.0
olmo,low vision,7B,1.0,50.0
olmo,low vision,13B,1.0,50.0
olmo,menu bar,1B,2.0,100.0
olmo,menu bar,7B,2.0,100.0
olmo,menu bar,13B,2.0,100.0
olmo,pointer cancellation,1B,1.0,50.0
olmo,pointer cancellation,7B,1.0,50.0
olmo,pointer cancellation,13B,1.0,50.0
olmo,radio group,1B,0.0,0.0
olmo,radio group,7B,0.0,0.0
olmo,radio group,13B,0.0,0.0
olmo,reading order,1B,1.0,50.0
olmo,reading order,7B,0.0,0.0
olmo,reading order,13B,0.0,0.0
olmo,redundant entry,1B,0.0,0.0
olmo,redundant entry,7B,0.0,0.0
olmo,redundant entry,13B,0.0,0.0
olmo,responsive design,1B,2.0,100.0
olmo,responsive design,7B,2.0,100.0
olmo,responsive design,13B,2.0,100.0
olmo,screen reader,1B,2.0,100.0
olmo,screen reader,7B,1.0,50.0
olmo,screen reader,13B,2.0,100.0
olmo,section heading,1B,2.0,100.0
olmo,section heading,7B,2.0,100.0
olmo,section heading,13B,2.0,100.0
olmo,semantic HTML,1B,1.0,50.0
olmo,semantic HTML,7B,2.0,100.0
olmo,semantic HTML,13B,1.0,50.0
olmo,semantic markup,1B,2.0,100.0
olmo,semantic markup,7B,2.0,100.0
olmo,semantic markup,13B,2.0,100.0
olmo,sensory characteristics,1B,0.0,0.0
olmo,sensory characteristics,7B,0.0,0.0
olmo,sensory characteristics,13B,0.0,0.0
olmo,sign language,1B,2.0,100.0
olmo,sign language,7B,2.0,100.0
olmo,sign language,13B,2.0,100.0
olmo,skip link,1B,0.0,0.0
olmo,skip link,7B,2.0,100.0
olmo,skip link,13B,0.0,0.0
olmo,status message,1B,1.0,50.0
olmo,status message,7B,1.0,50.0
olmo,status message,13B,2.0,100.0
olmo,tab panel,1B,2.0,100.0
olmo,tab panel,7B,2.0,100.0
olmo,tab panel,13B,2.0,100.0
olmo,target size,1B,1.0,50.0
olmo,target size,7B,0.0,0.0
olmo,target size,13B,1.0,50.0
olmo,text alternative,1B,1.0,50.0
olmo,text alternative,7B,2.0,100.0
olmo,text alternative,13B,1.0,50.0
olmo,text formatting,1B,2.0,100.0
olmo,text formatting,7B,2.0,100.0
olmo,text formatting,13B,2.0,100.0
olmo,text spacing,1B,0.0,0.0
olmo,text spacing,7B,2.0,100.0
olmo,text spacing,13B,1.0,50.0
olmo,tool tip,1B,2.0,100.0
olmo,tool tip,7B,2.0,100.0
olmo,tool tip,13B,2.0,100.0
olmo,touch target,1B,1.0,50.0
olmo,touch target,7B,2.0,100.0
olmo,touch target,13B,2.0,100.0
olmo,tree grid,1B,0.0,0.0
olmo,tree grid,7B,0.0,0.0
olmo,tree grid,13B,1.0,50.0
olmo,universal design,1B,1.0,50.0
olmo,universal design,7B,0.0,0.0
olmo,universal design,13B,0.0,0.0
